AS AM 9  - RACE & RESISTANCE,4.0,Optional,TR,2:00 PM-3:15 PM,"Girvetz Hall, 1004",FUJINO D C,Space Closed,Max 206,02030
AS AM 100CC - FILIPINO AMERICANS,4.0,Optional,MW,8:00 AM-9:15 AM,"Girvetz Hall, 1112",ZULUETA B C,Space Closed,Max 45,02139
AS AM 100HH - SOUTHEAST ASIAN,4.0,Optional,MW,12:30 PM-1:45 PM,"Girvetz Hall, 1112",ZULUETA B C,Space Closed,Max 45,02147
AS AM 122  - ASIAN AMER FICTION,4.0,Optional,MW,2:00 PM-3:15 PM,"Girvetz Hall, 1115",NINH E K,Space Closed,Max 45,60517
AS AM 128  - AS AM WOMEN WRITING,4.0,Optional,MW,9:30 AM-10:45 AM,"North Hall, 1109",DESAI J,Space 1,Max 45,60525
AS AM 130  - COLONIALISM,4.0,Optional,TR,9:30 AM-10:45 AM,"Girvetz Hall, 1112",PARK J S W,Space 2,Max 45,60541
AS AM 141  - AS AM CREATIVE WRTG,4.0,Optional,MW,9:30 AM-10:45 AM,"HSSB, 5024",PANDYA S P,Space Closed,Max 25,02188
AS AM 154  - RACE/LAW IN US HIST,4.0,Optional,TR,12:30 PM-1:45 PM,"Girvetz Hall, 1112",PARK J S W,Space 6,Max 45,60566
AS AM 158  - AS AM AESTHETICS,4.0,Optional,MW,11:00 AM-12:15 PM,"Girvetz Hall, 1112",PANDYA S P,Space Closed,Max 45,02204
AS AM 165  - ETHNO RESEARCH METH,4.0,Optional,TR,3:30 PM-4:45 PM,"North Hall, 1109",RUBIO E H,Space Closed,Max 45,60533
AS AM 194B  - ETHNC ST TEACH ED,2.0,Pass/No Pass,W,5:00 PM-6:15 PM,"HSSB, 5024",ZARATE A D,Space Full,Max 10,61077
AS AM 197  - FIELD STUDIES,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space Full,Max 0,02246
AS AM 199  - INDEPENDENT STUDIES,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space Full,Max 0,02253
AS AM 199RA - INDEP RESEARCH ASST,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space Full,Max 0,02261
ASTRO 1  - BASIC ASTRONOMY,4.0,Optional,MW,2:00 PM-3:15 PM,"Broida Hall, 1610",GELLER R M,Space 41,Max 286,02295
